description,name,protein,fat,carbohydrate,calories
['human'],"Milk, human",1.03,4.38,6.89,70.0
['NFS'],"Milk, NFS",3.33,2.14,4.83,52.0
['whole'],"Milk, whole",3.27,3.2,4.63,61.0
['reducedfat'],"Milk, reduced fat (2%)",3.36,1.9,4.9,50.0
['lowfat'],"Milk, low fat (1%)",3.38,0.95,5.18,43.0
['fatfree'],"Milk, fat free (skim)",3.43,0.08,4.92,34.0
"['lactosefree', 'lowfat']","Milk, lactose free, low fat (1%)",3.38,0.95,5.18,43.0
"['lactosefree', 'fatfree']","Milk, lactose free, fat free (skim)",3.43,0.08,4.92,34.0
"['lactosefree', 'reducedfat']","Milk, lactose free, reduced fat (2%)",3.36,1.9,4.9,50.0
"['lactosefree', 'whole']","Milk, lactose free, whole",3.27,3.2,4.63,61.0
['fatfree'],"Buttermilk, fat free (skim)",3.31,1.07,4.79,40.0
['whole'],"Buttermilk, whole",3.21,3.31,4.88,62.0
['NSastofatcontent'],"Kefir, NS as to fat content",3.59,0.96,7.48,52.0
['whole'],"Goat's milk, whole",3.56,4.14,4.45,69.0
"['dry', 'reconstituted', 'NSastofatcontent']","Milk, dry, reconstituted, NS as to fat content",3.2,0.07,4.6,32.0
"['dry', 'reconstituted', 'whole']","Milk, dry, reconstituted, whole",4.01,4.08,5.86,76.0
"['dry', 'reconstituted', 'lowfat']","Milk, dry, reconstituted, low fat (1%)",3.17,1.01,4.55,40.0
"['dry', 'reconstituted', 'fatfree']","Milk, dry, reconstituted, fat free (skim)",3.2,0.07,4.6,32.0
"['evaporated', 'NSastofatcontent']","Milk, evaporated, NS as to fat content",6.81,7.56,10.0,134
"['evaporated', 'whole']","Milk, evaporated, whole",6.81,7.56,10.0,134
"['evaporated', 'reducedfat']","Milk, evaporated, reduced fat (2%)",7.42,1.96,11.2,92.0
"['evaporated', 'fatfree']","Milk, evaporated, fat free (skim)",7.55,0.2,11.4,78.0
"['condensed', 'sweetened']","Milk, condensed, sweetened",7.91,8.7,54.4,321
['NFS'],"Non-dairy milk, NFS",1.14,1.34,3.14,29.0
[],Soy milk,3.41,2.05,5.22,53.0
['light'],"Soy milk, light",3.55,2.12,1.29,38.0
['nonfat'],"Soy milk, nonfat",3.55,2.12,1.29,38.0
['chocolate'],"Soy milk, chocolate",3.35,2.03,8.32,64.0
"['light', 'chocolate']","Soy milk, light, chocolate",3.6,2.15,1.46,39.0
['sweetened'],"Almond milk, sweetened",0.53,1.18,4.31,30.0
"['sweetened', 'chocolate']","Almond milk, sweetened, chocolate",0.57,1.2,7.44,43.0
['unsweetened'],"Almond milk, unsweetened",0.55,1.22,0.34,15.0
"['unsweetened', 'chocolate']","Almond milk, unsweetened, chocolate",0.61,1.26,0.51,16.0
[],Rice milk,0.28,0.97,9.17,47.0
[],Coconut milk,0.21,2.08,2.92,31.0
['NFS'],"Yogurt, NFS",5.25,1.55,7.04,63.0
"['Greek', 'NSastotypeofmilkorflavor']","Yogurt, Greek, NS as to type of milk or flavor",9.95,1.92,3.94,73.0
['NSastotypeofmilkorflavor'],"Yogurt, NS as to type of milk or flavor",5.25,1.55,7.04,63.0
"['NSastotypeofmilk', 'plain']","Yogurt, NS as to type of milk, plain",5.25,1.55,7.04,63.0
"['wholemilk', 'plain']","Yogurt, whole milk, plain",3.47,3.25,4.66,61.0
"['lowfatmilk', 'plain']","Yogurt, low fat milk, plain",5.25,1.55,7.04,63.0
"['nonfatmilk', 'plain']","Yogurt, nonfat milk, plain",5.73,0.18,7.68,56.0
"['Greek', 'NSastotypeofmilk', 'plain']","Yogurt, Greek, NS as to type of milk, plain",9.95,1.92,3.94,73.0
"['Greek', 'wholemilk', 'plain']","Yogurt, Greek, whole milk, plain",9.0,5.0,3.98,97.0
"['Greek', 'lowfatmilk', 'plain']","Yogurt, Greek, low fat milk, plain",9.95,1.92,3.94,73.0
"['Greek', 'nonfatmilk', 'plain']","Yogurt, Greek, nonfat milk, plain",10.3,0.37,3.64,59.0
"['NSastotypeofmilk', 'fruit']","Yogurt, NS as to type of milk, fruit",4.66,1.37,14.5,89.0
"['wholemilk', 'fruit']","Yogurt, whole milk, fruit",3.1,2.87,12.4,87.0
"['lowfatmilk', 'fruit']","Yogurt, low fat milk, fruit",4.66,1.37,14.5,89.0
"['nonfatmilk', 'fruit']","Yogurt, nonfat milk, fruit",5.09,0.17,15.0,83.0
"['Greek', 'NSastotypeofmilk', 'fruit']","Yogurt, Greek, NS as to type of milk, fruit",8.17,2.57,12.3,105
"['Greek', 'wholemilk', 'fruit']","Yogurt, Greek, whole milk, fruit",7.33,3.0,12.3,106
"['Greek', 'lowfatmilk', 'fruit']","Yogurt, Greek, low fat milk, fruit",8.17,2.57,12.3,105
"['Greek', 'nonfatmilk', 'fruit']","Yogurt, Greek, nonfat milk, fruit",8.06,0.15,12.2,82.0
"['NSastotypeofmilk', 'flavorsotherthanfruit']","Yogurt, NS as to type of milk, flavors other than fruit",5.09,1.51,9.82,73.0
"['wholemilk', 'flavorsotherthanfruit']","Yogurt, whole milk, flavors other than fruit",3.3,3.1,9.41,78.0
"['lowfatmilk', 'flavorsotherthanfruit']","Yogurt, low fat milk, flavors other than fruit",5.09,1.51,9.82,73.0
"['nonfatmilk', 'flavorsotherthanfruit']","Yogurt, nonfat milk, flavors other than fruit",5.56,0.18,10.4,66.0
"['Greek', 'NSastotypeofmilk', 'flavorsotherthanfruit']","Yogurt, Greek, NS as to type of milk, flavors other than fruit",8.64,2.5,9.54,95.0
"['Greek', 'wholemilk', 'flavorsotherthanfruit']","Yogurt, Greek, whole milk, flavors other than fruit",8.47,4.44,9.35,111
"['Greek', 'lowfatmilk', 'flavorsotherthanfruit']","Yogurt, Greek, low fat milk, flavors other than fruit",8.64,2.5,9.54,95.0
"['Greek', 'nonfatmilk', 'flavorsotherthanfruit']","Yogurt, Greek, nonfat milk, flavors other than fruit",8.64,0.18,10.4,78.0
"['Greek', 'withoats']","Yogurt, Greek, with oats",8.88,4.6,21.1,160
['liquid'],"Yogurt, liquid",3.71,1.09,11.8,72.0
['yogurtbased'],"Chipotle dip, yogurt based",7.93,16.0,3.33,189
['yogurtbased'],"Onion dip, yogurt based",6.82,12.9,4.06,160
['yogurtbased'],"Ranch dip, yogurt based",8.48,16.1,4.13,195
['yogurtbased'],"Spinach dip, yogurt based",7.02,13.0,3.59,159
[],Tzatziki dip,5.35,6.31,3.92,93.0
['yogurtbased'],"Vegetable dip, yogurt based",8.16,16.0,3.76,191
"['lowfat', 'withfruit']","Yogurt parfait, low fat, with fruit",3.36,1.01,15.9,84.0
['NFS'],"Frozen yogurt, NFS",3.0,3.6,21.6,127
['vanilla'],"Frozen yogurt, vanilla",3.0,3.6,21.6,127
['chocolate'],"Frozen yogurt, chocolate",3.0,3.6,21.6,131
"['softserve', 'vanilla']","Frozen yogurt, soft serve, vanilla",4.0,5.6,24.2,159
"['softserve', 'chocolate']","Frozen yogurt, soft serve, chocolate",4.31,5.76,24.9,160
[],Frozen yogurt sandwich,3.9,6.25,34.4,204
